ID,X1,X2,X3,Y,name
1,6.135436979,9.990547956,9.577048338,1,Yup
2,4.165163475,20.67071943,12.99992416,1,Yup
3,2.272730035,9.880857921,7.807481747,0,Nope
4,8.401778491,16.95834422,3.897962982,0,Nope
5,1.677857541,17.63338109,14.63209026,1,Yup
6,1.883493423,3.265383684,1.319197334,0,Nope
7,0.25968603,7.741162427,10.18625671,0,Nope
8,6.216154907,11.76534284,2.506803939,0,Nope
9,2.038304225,1.426976874,6.935754771,0,Nope
10,10.60929885,19.96722366,3.084912049,0,Nope
11,5.149501003,18.85854289,6.917698121,0,Nope
12,4.238920397,12.63732052,14.02540267,1,Yup
13,8.325190949,7.177986999,15.66227817,1,Yup
14,5.799151062,3.260346412,18.53778556,1,Yup
15,4.497660802,10.80866723,18.18036081,1,Yup
16,9.486058726,3.776615742,16.25924451,1,Yup
17,4.178850865,5.509217299,6.290720389,0,Nope
18,3.924554918,19.34633427,20.62802358,1,Yup
19,7.948338729,12.92231658,8.493757206,0,Nope
20,8.429632931,19.7096691,4.874129751,0,Nope
21,10.93567681,15.97597967,6.255317786,0,Nope
22,2.622934945,9.35690165,2.019837745,0,Nope
23,4.72118472,15.81556032,17.61471525,1,Yup
24,10.32528889,17.92807768,3.802500664,0,Nope
25,7.836989271,10.98816119,5.596066296,0,Nope
26,8.426922486,8.334269834,15.57254634,1,Yup
27,1.493816706,8.633420726,4.358224385,0,Nope
28,10.48256424,19.95242959,2.746112629,0,Nope
29,8.1215636,7.602765783,15.68053139,1,Yup
30,2.10067152,1.38961864,9.092493957,0,Nope
31,0.341260106,11.77680725,20.39151546,1,Yup
32,2.261606351,1.52947101,3.592200422,0,Nope
33,1.265524035,20.12385669,17.04703691,1,Yup
34,3.658973301,10.03918478,16.4273188,1,Yup
35,6.957887661,0.52614248,19.9485006,1,Yup
36,8.128081947,8.236710506,10.54493442,1,Yup
37,7.512970635,16.63721435,7.093621362,0,Nope
38,0.577649606,7.144727086,1.515069014,0,Nope
39,1.798812941,20.93128095,14.7404623,1,Yup
40,2.094049162,6.364634211,8.905364832,0,Nope
41,6.206171504,10.46739297,6.824130213,0,Nope
42,3.959371242,15.43175916,16.37014118,1,Yup
43,1.978137625,8.293867585,10.34708497,0,Nope
44,3.225023914,5.753604596,8.229944283,0,Nope
45,4.626751284,16.86106315,19.04999872,1,Yup
46,8.058435848,13.56987597,10.02951987,0,Nope
47,8.809550058,15.07919014,1.278662094,0,Nope
48,8.832098094,10.15615014,3.631868006,0,Nope
49,8.784855554,19.90062108,6.196160996,0,Nope
50,9.860576517,10.4891538,8.912228989,0,Nope
51,4.754044053,4.319644917,7.955547189,0,Nope
52,0.940942367,16.08996296,20.5529683,1,Yup
53,4.919413906,7.053765189,9.573730876,0,Nope
54,6.399903701,7.349438547,18.35787696,1,Yup
55,7.828285715,18.47178502,3.80677821,0,Nope
56,1.180425048,5.547216167,8.664304431,0,Nope
57,4.715829517,18.64462974,18.75380282,1,Yup
58,9.276065784,6.86847371,10.97195708,1,Yup
59,2.312850314,15.55418986,12.27481168,1,Yup
60,9.697307761,4.526370784,19.87834567,1,Yup
61,9.876428031,3.200823359,18.20520824,1,Yup
62,8.909974858,8.866005693,14.70536579,1,Yup
63,7.165023267,9.586614824,12.173604,1,Yup
64,7.932502849,8.717910896,12.01664959,1,Yup
65,0.472816552,7.060966464,4.620222214,0,Nope
66,10.68159048,3.721171609,20.34934401,1,Yup
67,10.87740088,5.517024122,17.31586834,1,Yup
68,6.810161374,17.12420589,7.118924655,0,Nope
69,4.80117462,19.34748587,18.599365,1,Yup
70,9.509946291,2.509933374,17.01800557,1,Yup
71,0.25424209,17.77499078,12.57329731,1,Yup
72,10.0838295,12.1603797,1.99880288,0,Nope
73,5.086823794,11.73793801,2.584729843,0,Nope
74,1.469239674,0.891096444,5.735928819,0,Nope
75,8.111064277,13.4123906,8.143159489,0,Nope
76,4.380730306,15.58870443,18.28834577,1,Yup
77,8.705055143,8.140014352,12.66136053,1,Yup
78,5.035036717,20.44270393,6.095960211,0,Nope
79,4.267394027,13.43515539,16.57647395,1,Yup
80,10.73482691,10.85166089,6.62104762,0,Nope
81,2.996673196,12.68221811,20.31056427,1,Yup
82,10.46237065,0.835849154,11.65514829,1,Yup
83,6.715300293,7.440478811,14.30986975,1,Yup
84,3.65891104,6.398465336,4.959561094,0,Nope
85,4.360440365,13.43102648,9.749763466,1,Yup
86,3.747259504,20.63513668,17.96537976,1,Yup
87,5.432965088,10.63347164,8.502077272,0,Nope
88,5.4937267,10.21767255,10.80028417,0,Nope
89,8.296160013,10.7941566,1.449283767,0,Nope
90,2.583495573,14.36987189,18.70181525,1,Yup
91,3.674630218,14.63502412,17.1690654,1,Yup
92,0.087755528,10.66402013,18.33187448,1,Yup
93,2.782636267,5.843918065,4.465197973,0,Nope
94,2.270580351,8.452841169,9.120690299,0,Nope
95,0.20317068,12.54378433,9.825097854,1,Yup
96,4.194704361,11.99726079,20.32477133,1,Yup
97,3.591146186,11.95135805,9.594982177,1,Yup
98,2.581381133,0.710475376,2.67637978,0,Nope
99,8.060703855,11.40181767,10.90635884,0,Nope
100,5.2396465,8.473512906,15.15551642,1,Yup
101,3.145898455,7.976170639,10.65234928,0,Nope
102,4.431167393,8.733807055,7.787330335,0,Nope
103,8.825105194,5.073790079,10.14137296,1,Yup
104,2.159637928,17.73594283,12.74698287,1,Yup
105,6.827972234,7.087507154,9.155801963,1,Yup
106,3.461565426,9.173513484,8.418395152,0,Nope
107,7.388862,17.11023894,1.757460518,0,Nope
108,5.723268643,3.324813031,14.42971829,1,Yup
109,4.804535815,1.377243357,7.606510476,0,Nope
110,3.927174743,7.763169631,5.979800562,0,Nope
111,3.411886761,8.147874145,9.240421863,0,Nope
112,6.043975809,14.00991349,3.095112413,0,Nope
113,2.23149149,5.941805848,6.349871332,0,Nope
114,7.681814424,5.657885454,13.90965333,1,Yup
115,1.965851325,8.186357301,8.867711707,0,Nope
116,4.898346869,4.84534669,4.395601991,0,Nope
117,6.274196219,2.250542996,18.6605468,1,Yup
118,6.101232181,5.132472401,10.78546305,1,Yup
119,7.404361399,6.059659993,16.51680256,1,Yup
120,4.240923366,1.964112306,8.72126551,0,Nope
121,9.526427111,18.61273944,4.616916632,0,Nope
122,2.949985484,6.538457936,5.363821992,0,Nope
123,3.62503033,6.302192563,6.723601709,0,Nope
124,3.674249364,8.88870621,6.510942935,0,Nope
125,2.124147522,4.346263813,7.161116202,0,Nope
126,10.16148785,8.943529086,13.19814291,1,Yup
127,8.283687154,10.87994059,8.465029321,0,Nope
128,9.000374736,9.314953053,17.42656385,1,Yup
129,3.042001847,13.4151489,11.56839249,1,Yup
130,5.185056778,11.91204759,4.155760915,0,Nope
131,9.164881386,11.4083391,2.059235882,0,Nope
132,4.639438626,14.01614981,16.50326163,1,Yup
133,8.416616001,3.790425053,15.18039192,1,Yup
134,4.195253072,17.01077546,20.92909224,1,Yup
135,4.130355238,6.019395654,2.488238919,0,Nope
136,4.452421545,9.245557449,5.634223479,0,Nope
137,5.056255927,12.58201867,4.813394005,0,Nope
138,4.406046457,12.32691763,19.83300792,1,Yup
139,4.180687249,6.229055796,5.376841572,0,Nope
140,4.080389519,13.40972723,18.8599276,1,Yup
141,8.289460342,8.495439517,11.92760133,1,Yup
142,1.540435431,2.545014875,5.275370968,0,Nope
143,6.785128351,17.60126145,9.633283659,0,Nope
144,1.242674419,15.08145079,15.02613719,1,Yup
145,1.949885054,17.44631693,12.24741269,1,Yup
146,7.766193199,13.62689305,8.601067362,0,Nope
147,10.24709875,14.27966314,1.111155134,0,Nope
148,2.102828718,12.05460489,14.11297119,1,Yup
149,6.013185791,8.19064641,11.36154901,1,Yup
150,9.980947546,5.723195167,18.40627765,1,Yup
